date,city,permit_type,permit_number,address,description
2015-10-07,houston,New Single Family Dwelling,2432,3212  POLK ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-07,houston,New Single Family Dwelling,2433,3214  POLK ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-07,houston,New Single Family Dwelling,2434,3216  POLK ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-07,houston,New Single Family Dwelling,2435,3218  POLK ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2436,2103  STUART ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2437,2105  STUART ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2438,2107  STUART ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-20,houston,New Single Family Dwelling,2439,5219  PANAY PARK DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-14,houston,New Single Family Dwelling,2440,5202  PANAY PARK DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2441,11918  PROSPERITY POINT DR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2442,11914  PROSPERITY POINT DR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 A) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2443,11910  PROSPERITY POINT DR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 C) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2444,11906  PROSPERITY POINT DR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2445,5507  ABUNDANT LIFE LN,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 A) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2446,5511  ABUNDANT LIFE LN,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 C) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2447,5519  ABUNDANT LIFE LN,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 A) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,2448,5515  ABUNDANT LIFE LN,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL R-1412 B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-12,houston,New Single Family Dwelling,2449,1602  OVID ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-12,houston,New Single Family Dwelling,2450,1602  OVID ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-11,houston,New Single Family Dwelling,2451,1604  OVID ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-12,houston,New Single Family Dwelling,2452,2112  BRENTWOOD DR,"Project: NEW DET RES GAR W/ QUARTERS ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-17,houston,New Single Family Dwelling,2453,1604  OVID ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-11,houston,New Single Family Dwelling,2454,7931  FLINTRIDGE DR,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-06,houston,New Single Family Dwelling,2455,4811  NOBLE ST,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-06,houston,New Single Family Dwelling,2456,2205  SOLO ST,"Project: S.F. RES W/ ATT GAR (1-2-5-R3-B) M # 15024035 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-06,houston,New Single Family Dwelling,2457,4608  SUMPTER ST,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-06,houston,New Single Family Dwelling,2458,4610  SUMPTER ST,"Project: S.F. RES W/ ATT GAR (1-2-5-R3-B) M # 15024039 / 06 IRC, Dwellings: 1, Buildings: 1"
